,nx,nr,nt,np,x,r,t,p,w,wj,x_deg,p_deg,t_deg
36,0,1,0,0,0,5.816195136,0,-0.506267563,4.61E-06,2.68E-05,0,-29.00699468,90
37,0,1,0,1,0,5.816195136,0,-0.387322695,2.62E-05,0.000152266,0,-22.19195571,90
38,0,1,0,2,0,5.816195136,0,-0.144403465,3.84E-05,0.000223227,0,-8.273709082,90
39,0,1,0,3,0,5.816195136,0,0.144403465,3.84E-05,0.000223227,0,8.273709082,90
40,0,1,0,4,0,5.816195136,0,0.387322695,2.62E-05,0.000152266,0,22.19195571,90
41,0,1,0,5,0,5.816195136,0,0.506267563,4.61E-06,2.68E-05,0,29.00699468,90
42,0,1,1,0,0,5.816195136,0.033826043,-0.502729965,2.60E-05,0.000151202,0,-28.80430522,88.06154073
43,0,1,1,1,0,5.816195136,0.033826043,-0.384616236,0.000147586,0.000858392,0,-22.03688706,88.06154073
44,0,1,1,2,0,5.816195136,0.033826043,-0.14339443,0.000216367,0.001258434,0,-8.215895658,88.06154073
45,0,1,1,3,0,5.816195136,0.033826043,0.14339443,0.000216367,0.001258434,0,8.215895658,88.06154073
46,0,1,1,4,0,5.816195136,0.033826043,0.384616236,0.000147586,0.000858392,0,22.03688706,88.06154073
47,0,1,1,5,0,5.816195136,0.033826043,0.502729965,2.60E-05,0.000151202,0,28.80430522,88.06154073
48,0,1,2,0,0,5.816195136,0.102908436,-0.472568889,3.58E-05,0.000208369,0,-27.07620289,84.09332403
49,0,1,2,1,0,5.816195136,0.102908436,-0.361541345,0.000203386,0.001182935,0,-20.71479317,84.09332403
50,0,1,2,2,0,5.816195136,0.102908436,-0.134791541,0.000298172,0.001734226,0,-7.722986411,84.09332403
51,0,1,2,3,0,5.816195136,0.102908436,0.134791541,0.000298172,0.001734226,0,7.722986411,84.09332403
52,0,1,2,4,0,5.816195136,0.102908436,0.361541345,0.000203386,0.001182935,0,20.71479317,84.09332403
53,0,1,2,5,0,5.816195136,0.102908436,0.472568889,3.58E-05,0.000208369,0,27.07620289,84.09332403
